"id","group_public_id","create_uid","write_uid","name","channel_type","default_display_mode","uuid","description","active","create_date","write_date","livechat_channel_id","livechat_operator_id","chatbot_current_step_id","country_id","anonymous_name","livechat_active","rating_last_value","sfu_channel_uuid","sfu_server_url","allow_public_upload","livechat_visitor_id","parent_channel_id","from_message_id","last_interest_dt"
1,1,1,10,"general","channel",NULL,"yJqCHgaQKq","General announcements for all employees.",True,"2022-11-09 10:04:35.499219","2025-07-08 05:24:12.713389",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-17 08:11:00"
2,NULL,2,1,"OdooBot, Administrator","chat",NULL,"rMBxKCNs4I",NULL,True,"2022-11-09 10:05:10.565585","2023-01-09 06:53:08.847891",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,NULL,14,1,"OdooBot, Sven Saric","chat",NULL,"n26uJFrivn",NULL,True,"2022-11-18 08:35:48.986674","2023-01-09 06:53:08.847891",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,NULL,10,10,"OdooBot, Mark Shaw","chat",NULL,"ddCMr66twZ",NULL,True,"2022-11-20 03:39:39.030122","2025-06-02 13:09:35.91534",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-02 13:09:35"
5,NULL,7,1,"OdooBot, Andrew Reseigh","chat",NULL,"kG8UUKhuHt",NULL,True,"2022-11-20 22:29:52.982564","2023-01-09 06:53:08.847891",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,NULL,12,1,"OdooBot, Shiu Tsu","chat",NULL,"W7mZT6pz6U",NULL,True,"2022-11-20 23:54:17.265153","2023-01-09 06:53:08.847891",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,NULL,6,1,"OdooBot, Khang Le","chat",NULL,"7jN9sgj6Hm",NULL,True,"2022-11-21 01:30:08.679093","2023-01-09 06:53:08.847891",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,NULL,13,1,"OdooBot, Son Nguyen","chat",NULL,"iAheNn7kiZ",NULL,True,"2022-11-21 05:01:34.199577","2023-01-09 06:53:08.847891",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,NULL,13,1,"Sven Saric, Son Nguyen","chat",NULL,"vDBEbI4NQP",NULL,True,"2022-11-21 06:10:46.066646","2023-01-09 06:53:08.847891",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,NULL,9,1,"OdooBot, Harry Nguyen","chat",NULL,"tpqM4qnGsp",NULL,True,"2022-11-21 06:14:50.322302","2023-01-09 06:53:08.847891",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,NULL,11,1,"OdooBot, Otis Nguyen","chat",NULL,"ADm7X7Cpvm",NULL,True,"2022-11-21 06:15:05.036428","2023-01-09 06:53:08.847891",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,NULL,8,1,"OdooBot, Hang Hoang","chat",NULL,"DteEm9sUng",NULL,True,"2022-12-01 01:20:16.518778","2023-01-09 06:53:08.847891",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,NULL,6,1,"Son Nguyen, Khang Le","chat",NULL,"zb9wpLVVYi",NULL,True,"2022-12-09 06:46:13.485657","2023-01-09 06:53:08.847891",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,NULL,6,1,"Otis Nguyen, Khang Le","chat",NULL,"3BiKhwqvGn",NULL,True,"2022-12-09 06:46:34.742887","2023-01-09 06:53:08.847891",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,NULL,2,1,"Otis Nguyen, Administrator","chat",NULL,"HrdfGFqUe8",NULL,True,"2022-12-21 05:30:30.770307","2023-01-09 06:53:08.847891",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,NULL,13,13,"Son Nguyen","chat",NULL,"e9dngqHjVB",NULL,True,"2023-01-12 02:05:47.003737","2023-01-12 02:05:47.003737",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,NULL,12,12,"Sven Saric, Shiu Tsu","chat",NULL,"5m8s2YJEp3",NULL,True,"2023-01-31 23:57:54.130777","2023-01-31 23:57:54.130777",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,NULL,12,12,"Shiu Tsu","chat",NULL,"6Ih3ebYNyN",NULL,True,"2023-02-07 08:30:52.633739","2023-02-07 08:30:52.633739",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,NULL,6,6,"Sven Saric, Khang Le","chat",NULL,"PwpQCTsVep",NULL,True,"2023-03-01 08:51:51.145443","2023-03-01 08:51:51.145443",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,NULL,2,2,"ITMS Meeting with Joel Scott","group","video_full_screen","f2P3gNS2DV","10/03/2023 at (16:00:00 To 17:00:00) (Australia/Brisbane)",True,"2023-03-10 00:14:20.283175","2023-03-10 00:14:20.283175",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,NULL,10,10,"ITMS Meeting with Mark Shaw","group","video_full_screen","8iF6V9NkWp","24/03/2023 at (13:00:00 To 14:00:00) (Asia/Bangkok)",True,"2023-03-10 00:23:32.151344","2023-03-10 00:23:32.151344",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,NULL,10,10,"Mark Shaw","chat",NULL,"XVM5g2nkGP",NULL,True,"2023-04-05 08:44:00.235683","2025-07-08 12:23:53.929209",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-08 12:23:53"
23,NULL,20,20,"OdooBot, Hiep Hoang","chat",NULL,"od9fVdfXh8",NULL,True,"2023-04-17 03:37:37.359064","2023-04-17 03:37:37.359064",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,NULL,8,8,"Hang Hoang","chat",NULL,"zII4ZCEbE7",NULL,True,"2023-05-17 00:57:40.159663","2023-05-17 00:57:40.159663",NULL,NULL,NULL,NULL,NULL,False,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL
