"id","partner_id","guest_id","channel_id","fetched_message_id","seen_message_id","rtc_inviting_session_id","create_uid","write_uid","custom_channel_name","fold_state","last_interest_dt","last_seen_dt","create_date","write_date","custom_notifications","mute_until_dt","unpin_dt","new_message_separator"
1,2,NULL,1,174926,174926,NULL,1,1,NULL,"closed","2022-11-09 10:04:37","2025-02-17 08:11:00","2022-11-09 10:04:35.499219","2025-02-17 08:09:41.150522",NULL,NULL,NULL,174927
3,2,NULL,2,NULL,NULL,NULL,2,2,NULL,"closed","2023-03-08 21:48:39",NULL,"2022-11-09 10:05:10.565585","2023-03-08 21:48:39.584853",NULL,NULL,NULL,0
4,3,NULL,2,38430,38430,NULL,2,2,NULL,"closed","2023-03-08 21:48:39","2023-03-08 21:48:39","2022-11-09 10:05:10.565585","2023-03-08 21:48:48.77477",NULL,NULL,NULL,38431
8,15,NULL,1,174926,174926,NULL,2,9,NULL,"closed","2022-11-10 04:59:39","2025-02-20 02:15:22","2022-11-10 04:59:39.68456","2025-02-20 02:15:26.208596",NULL,NULL,NULL,174927
11,20,NULL,1,1,1,NULL,2,12,NULL,"closed","2022-11-10 05:00:54","2023-01-31 23:49:35","2022-11-10 05:00:54.841583","2023-01-31 23:49:35.53782",NULL,NULL,NULL,2
14,2,NULL,3,NULL,NULL,NULL,14,14,NULL,"closed","2022-11-18 08:35:49",NULL,"2022-11-18 08:35:48.986674","2022-11-18 08:35:48.986674",NULL,NULL,NULL,0
15,845,NULL,3,8723,8723,NULL,14,14,NULL,"closed","2022-11-18 08:35:49","2022-11-18 08:35:49","2022-11-18 08:35:48.986674","2022-11-18 08:35:48.986674",NULL,NULL,NULL,8724
16,2,NULL,4,NULL,NULL,NULL,10,10,NULL,"closed","2022-11-20 03:39:39",NULL,"2022-11-20 03:39:39.030122","2022-11-20 03:39:39.030122",NULL,NULL,NULL,0
17,844,NULL,4,205634,205634,NULL,10,10,NULL,"closed","2022-11-20 03:39:39","2025-06-03 02:23:55","2022-11-20 03:39:39.030122","2025-07-08 11:07:57.895015",NULL,NULL,"2025-07-08 11:07:57",205635
18,2,NULL,5,NULL,NULL,NULL,7,7,NULL,"closed","2022-11-20 22:29:53",NULL,"2022-11-20 22:29:52.982564","2022-11-20 22:29:52.982564",NULL,NULL,NULL,0
19,843,NULL,5,28140,28140,NULL,7,7,NULL,"closed","2022-11-20 22:29:53","2022-11-20 22:29:53","2022-11-20 22:29:52.982564","2022-11-20 22:29:52.982564",NULL,NULL,NULL,28141
